latent_dim,compression,error_mean_xv,error_mean_yv,error_std_xv,error_std_yv,r2_xv,r2_yv,rho2_xv,rho2_yv,recon_r2,corr_sim
4,13.0,-0.2919147340105605,0.4579326231206161,4.402254485215628,4.408606836889282,0.6104571345153098,0.6241537485549224,0.6218288909261223,0.6306677646583025,0.13378992843918786,0.5992425130652279
8,6.5,-0.5478308650847231,-0.07534761817237128,4.245258955605276,4.3562434189366614,0.6333256533423195,0.6368375332968537,0.65005530110856,0.6393178460561483,0.22040648004895178,0.6528520819022661
13,4.0,-0.5743507426862366,-0.027798101310013854,4.149079024546869,4.290005715001499,0.6488874431743767,0.6478880641967497,0.6664005070338984,0.6498077558751275,0.32266188641255383,0.7014252403966699
26,2.0,-0.38132053168324026,-0.0502975077336098,4.041732245401541,4.248248969986279,0.6701752638342122,0.6546753613762981,0.6828938358630324,0.6569078093326579,0.5762693715456086,0.7934164824100938
32,1.625,-0.3998539416982089,-0.09062047294645005,4.032600409454104,4.2042109279842235,0.6713611126766371,0.6616879295431672,0.6844220383957924,0.6643330277290023,0.6869204094971623,0.8257054287946677
52,1.0,-0.49779731925726617,-0.05893693584277075,3.9078598560373075,4.136590443454299,0.6894238878784231,0.6725688666661229,0.707916355027857,0.6763779670941893,1.0,1.0
